,chrom,enh_start,enh_end,prom_start,prom_end,enh_name,prom_name,bin1_start,bin1_end,bin2_start,bin2_end,modle_count,valid_count
0,chr6,291673,291884,291913,292261,EH38E3684822,EH38E3684823,291000,292000,291000,292000,120,-1
1,chr6,660076,660405,291913,292261,EH38E2438593,EH38E3684823,660000,661000,291000,292000,1,-1
2,chr6,551360,551708,291913,292261,EH38E2438526,EH38E3684823,551000,552000,292000,293000,8,-1
3,chr6,683946,684293,291913,292261,EH38E3685190,EH38E3684823,684000,685000,292000,293000,2,-1
4,chr6,291673,291884,292375,292551,EH38E3684822,EH38E3684824,291000,292000,292000,293000,164,-1
5,chr6,551360,551708,292375,292551,EH38E2438526,EH38E3684824,551000,552000,292000,293000,8,-1
6,chr6,660076,660405,292375,292551,EH38E2438593,EH38E3684824,660000,661000,292000,293000,1,-1
7,chr6,683946,684293,292375,292551,EH38E3685190,EH38E3684824,684000,685000,292000,293000,2,-1
8,chr6,291673,291884,391601,391936,EH38E3684822,EH38E3684992,291000,292000,391000,392000,15,-1
9,chr6,551360,551708,391601,391936,EH38E2438526,EH38E3684992,551000,552000,391000,392000,17,-1
10,chr6,660076,660405,391601,391936,EH38E2438593,EH38E3684992,660000,661000,391000,392000,3,-1
11,chr6,680329,680679,391601,391936,EH38E2438601,EH38E3684992,680000,681000,391000,392000,2,-1
12,chr6,683946,684293,391601,391936,EH38E3685190,EH38E3684992,683000,684000,391000,392000,4,-1
13,chr6,551360,551708,692478,692824,EH38E2438526,EH38E3685197,551000,552000,692000,693000,5,-1
14,chr6,659281,659456,692478,692824,EH38E2438591,EH38E3685197,659000,660000,692000,693000,62,-1
15,chr6,660076,660405,692478,692824,EH38E2438593,EH38E3685197,660000,661000,692000,693000,58,-1
16,chr6,680329,680679,692478,692824,EH38E2438601,EH38E3685197,680000,681000,692000,693000,88,-1
17,chr6,683946,684293,692478,692824,EH38E3685190,EH38E3685197,683000,684000,692000,693000,104,-1
18,chr6,659281,659456,692907,693253,EH38E2438591,EH38E3685198,659000,660000,692000,693000,62,-1
19,chr6,660076,660405,692907,693253,EH38E2438593,EH38E3685198,660000,661000,692000,693000,58,-1
20,chr6,680329,680679,692907,693253,EH38E2438601,EH38E3685198,680000,681000,692000,693000,88,-1
21,chr6,683946,684293,692907,693253,EH38E3685190,EH38E3685198,683000,684000,692000,693000,104,-1
22,chr6,551360,551708,692907,693253,EH38E2438526,EH38E3685198,551000,552000,693000,694000,9,-1
23,chr6,659281,659456,1384798,1384955,EH38E2438591,EH38E3685515,659000,660000,1384000,1385000,1,-1
24,chr6,680329,680679,1384798,1384955,EH38E2438601,EH38E3685515,680000,681000,1384000,1385000,2,-1
25,chr6,659281,659456,1389444,1389789,EH38E2438591,EH38E3685522,659000,660000,1389000,1390000,1,-1
26,chr6,2765041,2765225,2245504,2245854,EH38E3686212,EH38E3685983,2765000,2766000,2245000,2246000,1,-1
27,chr6,2765580,2765762,2245504,2245854,EH38E3686213,EH38E3685983,2765000,2766000,2245000,2246000,1,-1
28,chr6,2927985,2928321,2245504,2245854,EH38E2440201,EH38E3685983,2928000,2929000,2245000,2246000,1,-1
29,chr6,2928881,2929105,2245504,2245854,EH38E3686365,EH38E3685983,2928000,2929000,2245000,2246000,1,-1
30,chr6,3023815,3024165,2245504,2245854,EH38E3686466,EH38E3685983,3023000,3024000,2245000,2246000,1,-1
31,chr6,2765041,2765225,2634433,2634774,EH38E3686212,EH38E3686141,2765000,2766000,2634000,2635000,17,-1
32,chr6,2765580,2765762,2634433,2634774,EH38E3686213,EH38E3686141,2765000,2766000,2634000,2635000,17,-1
33,chr6,2841298,2841620,2634433,2634774,EH38E3686265,EH38E3686141,2841000,2842000,2634000,2635000,4,-1
34,chr6,2853734,2854084,2634433,2634774,EH38E3686278,EH38E3686141,2853000,2854000,2634000,2635000,1,-1
35,chr6,2865906,2866250,2634433,2634774,EH38E3686301,EH38E3686141,2865000,2866000,2634000,2635000,1,-1
36,chr6,2877035,2877350,2634433,2634774,EH38E2440149,EH38E3686141,2877000,2878000,2634000,2635000,2,-1
37,chr6,2927985,2928321,2634433,2634774,EH38E2440201,EH38E3686141,2927000,2928000,2634000,2635000,1,-1
38,chr6,2928881,2929105,2634433,2634774,EH38E3686365,EH38E3686141,2928000,2929000,2634000,2635000,1,-1
39,chr6,2765041,2765225,2765227,2765571,EH38E3686212,EH38E2440011,2765000,2766000,2765000,2766000,103,-1
40,chr6,2765580,2765762,2765227,2765571,EH38E3686213,EH38E2440011,2765000,2766000,2765000,2766000,103,-1
41,chr6,2841298,2841620,2765227,2765571,EH38E3686265,EH38E2440011,2841000,2842000,2765000,2766000,23,-1
42,chr6,2853734,2854084,2765227,2765571,EH38E3686278,EH38E2440011,2853000,2854000,2765000,2766000,12,-1
43,chr6,2865906,2866250,2765227,2765571,EH38E3686301,EH38E2440011,2865000,2866000,2765000,2766000,15,-1
44,chr6,2877035,2877350,2765227,2765571,EH38E2440149,EH38E2440011,2877000,2878000,2765000,2766000,8,-1
45,chr6,2927985,2928321,2765227,2765571,EH38E2440201,EH38E2440011,2927000,2928000,2765000,2766000,4,-1
46,chr6,2928881,2929105,2765227,2765571,EH38E3686365,EH38E2440011,2928000,2929000,2765000,2766000,7,-1
47,chr6,2988960,2989305,2765227,2765571,EH38E3686432,EH38E2440011,2989000,2990000,2765000,2766000,3,-1
48,chr6,2989562,2989718,2765227,2765571,EH38E2440286,EH38E2440011,2989000,2990000,2765000,2766000,3,-1
49,chr6,2989752,2990031,2765227,2765571,EH38E3686433,EH38E2440011,2989000,2990000,2765000,2766000,3,-1
50,chr6,3023815,3024165,2765227,2765571,EH38E3686466,EH38E2440011,3024000,3025000,2765000,2766000,1,-1
51,chr6,3195101,3195344,2765227,2765571,EH38E3686591,EH38E2440011,3195000,3196000,2765000,2766000,1,-1
52,chr6,3195743,3196093,2765227,2765571,EH38E2440461,EH38E2440011,3195000,3196000,2765000,2766000,1,-1
53,chr6,3226846,3227194,2765227,2765571,EH38E3686612,EH38E2440011,3226000,3227000,2765000,2766000,1,-1
54,chr6,3282232,3282560,2765227,2765571,EH38E3686675,EH38E2440011,3282000,3283000,2765000,2766000,1,-1
55,chr6,2765041,2765225,2841743,2842093,EH38E3686212,EH38E2440094,2765000,2766000,2841000,2842000,23,-1
56,chr6,2765580,2765762,2841743,2842093,EH38E3686213,EH38E2440094,2765000,2766000,2841000,2842000,23,-1
57,chr6,2841298,2841620,2841743,2842093,EH38E3686265,EH38E2440094,2841000,2842000,2841000,2842000,159,-1
58,chr6,2865906,2866250,2841743,2842093,EH38E3686301,EH38E2440094,2865000,2866000,2841000,2842000,84,-1
59,chr6,2988164,2988449,2841743,2842093,EH38E3686430,EH38E2440094,2988000,2989000,2841000,2842000,33,-1
60,chr6,2988960,2989305,2841743,2842093,EH38E3686432,EH38E2440094,2988000,2989000,2841000,2842000,33,-1
61,chr6,2989562,2989718,2841743,2842093,EH38E2440286,EH38E2440094,2989000,2990000,2841000,2842000,36,-1
62,chr6,2989752,2990031,2841743,2842093,EH38E3686433,EH38E2440094,2989000,2990000,2841000,2842000,36,-1
63,chr6,3023815,3024165,2841743,2842093,EH38E3686466,EH38E2440094,3023000,3024000,2841000,2842000,9,-1
64,chr6,3075336,3075686,2841743,2842093,EH38E3686518,EH38E2440094,3075000,3076000,2841000,2842000,8,-1
65,chr6,3166192,3166541,2841743,2842093,EH38E3686578,EH38E2440094,3166000,3167000,2841000,2842000,6,-1
66,chr6,3194565,3194913,2841743,2842093,EH38E2440457,EH38E2440094,3194000,3195000,2841000,2842000,2,-1
67,chr6,3226846,3227194,2841743,2842093,EH38E3686612,EH38E2440094,3226000,3227000,2841000,2842000,3,-1
68,chr6,3228176,3228395,2841743,2842093,EH38E3686614,EH38E2440094,3228000,3229000,2841000,2842000,2,-1
69,chr6,3228414,3228725,2841743,2842093,EH38E2440494,EH38E2440094,3228000,3229000,2841000,2842000,2,-1
70,chr6,3337781,3338125,2841743,2842093,EH38E3686741,EH38E2440094,3337000,3338000,2841000,2842000,4,-1
71,chr6,3356297,3356642,2841743,2842093,EH38E3686769,EH38E2440094,3356000,3357000,2841000,2842000,1,-1
72,chr6,2853734,2854084,2841743,2842093,EH38E3686278,EH38E2440094,2853000,2854000,2842000,2843000,142,-1
73,chr6,2877035,2877350,2841743,2842093,EH38E2440149,EH38E2440094,2877000,2878000,2842000,2843000,71,-1
74,chr6,2927985,2928321,2841743,2842093,EH38E2440201,EH38E2440094,2927000,2928000,2842000,2843000,50,-1
75,chr6,2928881,2929105,2841743,2842093,EH38E3686365,EH38E2440094,2928000,2929000,2842000,2843000,60,-1
76,chr6,3163029,3163267,2841743,2842093,EH38E3686574,EH38E2440094,3163000,3164000,2842000,2843000,8,-1
77,chr6,3195101,3195344,2841743,2842093,EH38E3686591,EH38E2440094,3195000,3196000,2842000,2843000,4,-1
78,chr6,3195743,3196093,2841743,2842093,EH38E2440461,EH38E2440094,3195000,3196000,2842000,2843000,4,-1
79,chr6,3227944,3228172,2841743,2842093,EH38E2440492,EH38E2440094,3227000,3228000,2842000,2843000,6,-1
80,chr6,3282232,3282560,2841743,2842093,EH38E3686675,EH38E2440094,3282000,3283000,2842000,2843000,4,-1
81,chr6,3423810,3424082,2841743,2842093,EH38E2440747,EH38E2440094,3423000,3424000,2842000,2843000,2,-1
82,chr6,2765041,2765225,2903200,2903482,EH38E3686212,EH38E3686339,2765000,2766000,2903000,2904000,3,-1
83,chr6,2765580,2765762,2903200,2903482,EH38E3686213,EH38E3686339,2765000,2766000,2903000,2904000,3,-1
84,chr6,2841298,2841620,2903200,2903482,EH38E3686265,EH38E3686339,2841000,2842000,2903000,2904000,55,-1
85,chr6,2853734,2854084,2903200,2903482,EH38E3686278,EH38E3686339,2853000,2854000,2903000,2904000,94,-1
86,chr6,2865906,2866250,2903200,2903482,EH38E3686301,EH38E3686339,2865000,2866000,2903000,2904000,90,-1
87,chr6,2877035,2877350,2903200,2903482,EH38E2440149,EH38E3686339,2877000,2878000,2903000,2904000,103,-1
88,chr6,2927985,2928321,2903200,2903482,EH38E2440201,EH38E3686339,2927000,2928000,2903000,2904000,79,-1
89,chr6,2928881,2929105,2903200,2903482,EH38E3686365,EH38E3686339,2928000,2929000,2903000,2904000,82,-1
90,chr6,2988164,2988449,2903200,2903482,EH38E3686430,EH38E3686339,2988000,2989000,2903000,2904000,25,-1
91,chr6,2988960,2989305,2903200,2903482,EH38E3686432,EH38E3686339,2988000,2989000,2903000,2904000,25,-1
92,chr6,2989562,2989718,2903200,2903482,EH38E2440286,EH38E3686339,2989000,2990000,2903000,2904000,27,-1
93,chr6,2989752,2990031,2903200,2903482,EH38E3686433,EH38E3686339,2989000,2990000,2903000,2904000,27,-1
94,chr6,3023815,3024165,2903200,2903482,EH38E3686466,EH38E3686339,3023000,3024000,2903000,2904000,7,-1
95,chr6,3075336,3075686,2903200,2903482,EH38E3686518,EH38E3686339,3075000,3076000,2903000,2904000,3,-1
96,chr6,3163029,3163267,2903200,2903482,EH38E3686574,EH38E3686339,3163000,3164000,2903000,2904000,4,-1
97,chr6,3166192,3166541,2903200,2903482,EH38E3686578,EH38E3686339,3166000,3167000,2903000,2904000,5,-1
