,chrom,enh_start,enh_end,prom_start,prom_end,enh_name,prom_name,bin1_start,bin1_end,bin2_start,bin2_end,modle_count,valid_count
0,chr10,930695,931020,931614,931964,EH38E1441557,EH38E1441560,931000,932000,931000,932000,53,-1
1,chr10,932025,932180,931614,931964,EH38E2880854,EH38E1441560,932000,933000,931000,932000,33,-1
2,chr10,136117,136372,988212,988557,EH38E2880230,EH38E2880897,136000,137000,988000,989000,1,-1
3,chr10,394494,394718,988212,988557,EH38E2880386,EH38E2880897,394000,395000,988000,989000,1,-1
4,chr10,930695,931020,988212,988557,EH38E1441557,EH38E2880897,930000,931000,988000,989000,15,-1
5,chr10,932025,932180,988212,988557,EH38E2880854,EH38E2880897,932000,933000,988000,989000,15,-1
6,chr10,1110212,1110562,988212,988557,EH38E2880993,EH38E2880897,1110000,1111000,988000,989000,3,-1
7,chr10,930695,931020,1049038,1049385,EH38E1441557,EH38E1441656,930000,931000,1049000,1050000,2,-1
8,chr10,932025,932180,1049038,1049385,EH38E2880854,EH38E1441656,932000,933000,1049000,1050000,4,-1
9,chr10,1110212,1110562,1049038,1049385,EH38E2880993,EH38E1441656,1110000,1111000,1049000,1050000,1,-1
10,chr10,1309676,1310016,1049038,1049385,EH38E2881149,EH38E1441656,1309000,1310000,1049000,1050000,1,-1
11,chr10,1310208,1310553,1049038,1049385,EH38E2881150,EH38E1441656,1310000,1311000,1049000,1050000,3,-1
12,chr10,1310582,1310732,1049038,1049385,EH38E2881151,EH38E1441656,1310000,1311000,1049000,1050000,3,-1
13,chr10,3786483,3786825,1049038,1049385,EH38E2882246,EH38E1441656,3786000,3787000,1049000,1050000,1,-1
14,chr10,930695,931020,1049566,1049795,EH38E1441557,EH38E2880947,930000,931000,1049000,1050000,2,-1
15,chr10,932025,932180,1049566,1049795,EH38E2880854,EH38E2880947,932000,933000,1049000,1050000,4,-1
16,chr10,1110212,1110562,1049566,1049795,EH38E2880993,EH38E2880947,1110000,1111000,1049000,1050000,1,-1
17,chr10,1309676,1310016,1049566,1049795,EH38E2881149,EH38E2880947,1309000,1310000,1049000,1050000,1,-1
18,chr10,1310208,1310553,1049566,1049795,EH38E2881150,EH38E2880947,1310000,1311000,1049000,1050000,3,-1
19,chr10,1310582,1310732,1049566,1049795,EH38E2881151,EH38E2880947,1310000,1311000,1049000,1050000,3,-1
20,chr10,3786483,3786825,1049566,1049795,EH38E2882246,EH38E2880947,3786000,3787000,1049000,1050000,1,-1
21,chr10,930695,931020,1056580,1056929,EH38E1441557,EH38E2880955,930000,931000,1056000,1057000,3,-1
22,chr10,932025,932180,1056580,1056929,EH38E2880854,EH38E2880955,932000,933000,1056000,1057000,1,-1
23,chr10,1110212,1110562,1056580,1056929,EH38E2880993,EH38E2880955,1110000,1111000,1056000,1057000,3,-1
24,chr10,1240346,1240689,1056580,1056929,EH38E2881100,EH38E2880955,1240000,1241000,1056000,1057000,1,-1
25,chr10,1309676,1310016,1056580,1056929,EH38E2881149,EH38E2880955,1310000,1311000,1056000,1057000,3,-1
26,chr10,1310208,1310553,1056580,1056929,EH38E2881150,EH38E2880955,1310000,1311000,1056000,1057000,3,-1
27,chr10,1310582,1310732,1056580,1056929,EH38E2881151,EH38E2880955,1310000,1311000,1056000,1057000,3,-1
28,chr10,1110212,1110562,1737364,1737711,EH38E2880993,EH38E2881421,1110000,1111000,1737000,1738000,2,-1
29,chr10,1240346,1240689,1737364,1737711,EH38E2881100,EH38E2881421,1240000,1241000,1737000,1738000,2,-1
30,chr10,1309676,1310016,1737364,1737711,EH38E2881149,EH38E2881421,1309000,1310000,1737000,1738000,1,-1
31,chr10,2201692,2202039,1737364,1737711,EH38E1442201,EH38E2881421,2202000,2203000,1737000,1738000,1,-1
32,chr10,2202442,2202675,1737364,1737711,EH38E1442202,EH38E2881421,2202000,2203000,1737000,1738000,1,-1
33,chr10,3173669,3173834,1737364,1737711,EH38E2881875,EH38E2881421,3173000,3174000,1737000,1738000,2,-1
34,chr10,1110212,1110562,3172765,3173039,EH38E2880993,EH38E2881872,1110000,1111000,3172000,3173000,1,-1
35,chr10,2201692,2202039,3172765,3173039,EH38E1442201,EH38E2881872,2201000,2202000,3172000,3173000,1,-1
36,chr10,2964273,2964616,3172765,3173039,EH38E2881704,EH38E2881872,2964000,2965000,3172000,3173000,2,-1
37,chr10,3486408,3486732,3172765,3173039,EH38E1442891,EH38E2881872,3486000,3487000,3172000,3173000,2,-1
38,chr10,5412701,5412920,3172765,3173039,EH38E2882996,EH38E2881872,5412000,5413000,3172000,3173000,1,-1
39,chr10,1240346,1240689,3172765,3173039,EH38E2881100,EH38E2881872,1240000,1241000,3173000,3174000,1,-1
40,chr10,1309676,1310016,3172765,3173039,EH38E2881149,EH38E2881872,1309000,1310000,3173000,3174000,1,-1
41,chr10,2202442,2202675,3172765,3173039,EH38E1442202,EH38E2881872,2202000,2203000,3173000,3174000,2,-1
42,chr10,3173669,3173834,3172765,3173039,EH38E2881875,EH38E2881872,3173000,3174000,3173000,3174000,310,-1
43,chr10,3455340,3455690,3172765,3173039,EH38E2882031,EH38E2881872,3455000,3456000,3173000,3174000,1,-1
44,chr10,3775884,3776204,3172765,3173039,EH38E2882225,EH38E2881872,3775000,3776000,3173000,3174000,2,-1
45,chr10,3783391,3783576,3172765,3173039,EH38E2882239,EH38E2881872,3783000,3784000,3173000,3174000,1,-1
46,chr10,3783887,3784234,3172765,3173039,EH38E1443153,EH38E2881872,3783000,3784000,3173000,3174000,1,-1
47,chr10,5466546,5466888,3172765,3173039,EH38E1444355,EH38E2881872,5466000,5467000,3173000,3174000,1,-1
48,chr10,3173669,3173834,3785017,3785193,EH38E2881875,EH38E2882242,3173000,3174000,3785000,3786000,1,-1
49,chr10,3775884,3776204,3785017,3785193,EH38E2882225,EH38E2882242,3775000,3776000,3785000,3786000,9,-1
50,chr10,3776222,3776554,3785017,3785193,EH38E2882226,EH38E2882242,3776000,3777000,3785000,3786000,13,-1
51,chr10,3783391,3783576,3785017,3785193,EH38E2882239,EH38E2882242,3783000,3784000,3785000,3786000,51,-1
52,chr10,3783887,3784234,3785017,3785193,EH38E1443153,EH38E2882242,3783000,3784000,3785000,3786000,51,-1
53,chr10,3784239,3784396,3785017,3785193,EH38E1443154,EH38E2882242,3784000,3785000,3785000,3786000,305,-1
54,chr10,3786483,3786825,3785017,3785193,EH38E2882246,EH38E2882242,3786000,3787000,3785000,3786000,343,-1
55,chr10,3829722,3830008,3785017,3785193,EH38E1443215,EH38E2882242,3829000,3830000,3785000,3786000,4,-1
56,chr10,3887996,3888340,3785017,3785193,EH38E1443289,EH38E2882242,3887000,3888000,3785000,3786000,7,-1
57,chr10,3173669,3173834,3785236,3785586,EH38E2881875,EH38E2882243,3173000,3174000,3785000,3786000,1,-1
58,chr10,3775884,3776204,3785236,3785586,EH38E2882225,EH38E2882243,3775000,3776000,3785000,3786000,9,-1
59,chr10,3776222,3776554,3785236,3785586,EH38E2882226,EH38E2882243,3776000,3777000,3785000,3786000,13,-1
60,chr10,3783391,3783576,3785236,3785586,EH38E2882239,EH38E2882243,3783000,3784000,3785000,3786000,51,-1
61,chr10,3783887,3784234,3785236,3785586,EH38E1443153,EH38E2882243,3783000,3784000,3785000,3786000,51,-1
62,chr10,3784239,3784396,3785236,3785586,EH38E1443154,EH38E2882243,3784000,3785000,3785000,3786000,305,-1
63,chr10,3786483,3786825,3785236,3785586,EH38E2882246,EH38E2882243,3786000,3787000,3785000,3786000,343,-1
64,chr10,3829722,3830008,3785236,3785586,EH38E1443215,EH38E2882243,3829000,3830000,3785000,3786000,4,-1
65,chr10,3887996,3888340,3785236,3785586,EH38E1443289,EH38E2882243,3887000,3888000,3785000,3786000,7,-1
66,chr10,3775884,3776204,4825958,4826304,EH38E2882225,EH38E1443999,3775000,3776000,4825000,4826000,1,-1
67,chr10,3887996,3888340,4825958,4826304,EH38E1443289,EH38E1443999,3888000,3889000,4825000,4826000,1,-1
68,chr10,5412701,5412920,4825958,4826304,EH38E2882996,EH38E1443999,5412000,5413000,4825000,4826000,4,-1
69,chr10,5466546,5466888,4825958,4826304,EH38E1444355,EH38E1443999,5466000,5467000,4825000,4826000,3,-1
70,chr10,5476567,5476829,4825958,4826304,EH38E2883042,EH38E1443999,5476000,5477000,4825000,4826000,1,-1
71,chr10,6089607,6089950,4825958,4826304,EH38E1444990,EH38E1443999,6089000,6090000,4825000,4826000,1,-1
72,chr10,3455340,3455690,4825958,4826304,EH38E2882031,EH38E1443999,3455000,3456000,4826000,4827000,1,-1
