,chrom,enh_start,enh_end,prom_start,prom_end,enh_name,prom_name,bin1_start,bin1_end,bin2_start,bin2_end,modle_count,valid_count
0,chrX,283065,283218,276130,276478,EH38E3922140,EH38E3922126,283000,284000,276000,277000,133,-1
1,chrX,283251,283600,276130,276478,EH38E3922141,EH38E3922126,283000,284000,276000,277000,133,-1
2,chrX,283647,283801,276130,276478,EH38E3922142,EH38E3922126,283000,284000,276000,277000,133,-1
3,chrX,317869,318084,276130,276478,EH38E3922171,EH38E3922126,317000,318000,276000,277000,56,-1
4,chrX,318092,318419,276130,276478,EH38E3922172,EH38E3922126,318000,319000,276000,277000,48,-1
5,chrX,318453,318643,276130,276478,EH38E3922173,EH38E3922126,318000,319000,276000,277000,48,-1
6,chrX,319153,319320,276130,276478,EH38E3922175,EH38E3922126,319000,320000,276000,277000,45,-1
7,chrX,363379,363564,276130,276478,EH38E3922236,EH38E3922126,363000,364000,276000,277000,16,-1
8,chrX,387113,387463,276130,276478,EH38E3922265,EH38E3922126,387000,388000,276000,277000,7,-1
9,chrX,413446,413794,276130,276478,EH38E3922278,EH38E3922126,413000,414000,276000,277000,4,-1
10,chrX,413978,414247,276130,276478,EH38E2738596,EH38E3922126,413000,414000,276000,277000,4,-1
11,chrX,476234,476577,276130,276478,EH38E3922303,EH38E3922126,476000,477000,276000,277000,5,-1
12,chrX,499880,500224,276130,276478,EH38E3922309,EH38E3922126,499000,500000,276000,277000,3,-1
13,chrX,531445,531646,276130,276478,EH38E2738629,EH38E3922126,531000,532000,276000,277000,5,-1
14,chrX,791473,791800,276130,276478,EH38E2738747,EH38E3922126,791000,792000,276000,277000,1,-1
15,chrX,283065,283218,281141,281480,EH38E3922140,EH38E3922135,283000,284000,281000,282000,171,-1
16,chrX,283251,283600,281141,281480,EH38E3922141,EH38E3922135,283000,284000,281000,282000,171,-1
17,chrX,283647,283801,281141,281480,EH38E3922142,EH38E3922135,283000,284000,281000,282000,171,-1
18,chrX,317869,318084,281141,281480,EH38E3922171,EH38E3922135,317000,318000,281000,282000,48,-1
19,chrX,318092,318419,281141,281480,EH38E3922172,EH38E3922135,318000,319000,281000,282000,48,-1
20,chrX,318453,318643,281141,281480,EH38E3922173,EH38E3922135,318000,319000,281000,282000,48,-1
21,chrX,319153,319320,281141,281480,EH38E3922175,EH38E3922135,319000,320000,281000,282000,62,-1
22,chrX,363379,363564,281141,281480,EH38E3922236,EH38E3922135,363000,364000,281000,282000,23,-1
23,chrX,387113,387463,281141,281480,EH38E3922265,EH38E3922135,387000,388000,281000,282000,18,-1
24,chrX,413446,413794,281141,281480,EH38E3922278,EH38E3922135,413000,414000,281000,282000,13,-1
25,chrX,413978,414247,281141,281480,EH38E2738596,EH38E3922135,413000,414000,281000,282000,13,-1
26,chrX,476234,476577,281141,281480,EH38E3922303,EH38E3922135,476000,477000,281000,282000,5,-1
27,chrX,499880,500224,281141,281480,EH38E3922309,EH38E3922135,499000,500000,281000,282000,4,-1
28,chrX,531445,531646,281141,281480,EH38E2738629,EH38E3922135,531000,532000,281000,282000,1,-1
29,chrX,283065,283218,281483,281641,EH38E3922140,EH38E2738502,283000,284000,281000,282000,171,-1
30,chrX,283251,283600,281483,281641,EH38E3922141,EH38E2738502,283000,284000,281000,282000,171,-1
31,chrX,283647,283801,281483,281641,EH38E3922142,EH38E2738502,283000,284000,281000,282000,171,-1
32,chrX,317869,318084,281483,281641,EH38E3922171,EH38E2738502,317000,318000,281000,282000,48,-1
33,chrX,318092,318419,281483,281641,EH38E3922172,EH38E2738502,318000,319000,281000,282000,48,-1
34,chrX,318453,318643,281483,281641,EH38E3922173,EH38E2738502,318000,319000,281000,282000,48,-1
35,chrX,319153,319320,281483,281641,EH38E3922175,EH38E2738502,319000,320000,281000,282000,62,-1
36,chrX,363379,363564,281483,281641,EH38E3922236,EH38E2738502,363000,364000,281000,282000,23,-1
37,chrX,387113,387463,281483,281641,EH38E3922265,EH38E2738502,387000,388000,281000,282000,18,-1
38,chrX,413446,413794,281483,281641,EH38E3922278,EH38E2738502,413000,414000,281000,282000,13,-1
39,chrX,413978,414247,281483,281641,EH38E2738596,EH38E2738502,413000,414000,281000,282000,13,-1
40,chrX,476234,476577,281483,281641,EH38E3922303,EH38E2738502,476000,477000,281000,282000,5,-1
41,chrX,499880,500224,281483,281641,EH38E3922309,EH38E2738502,499000,500000,281000,282000,4,-1
42,chrX,531445,531646,281483,281641,EH38E2738629,EH38E2738502,531000,532000,281000,282000,1,-1
43,chrX,283065,283218,318789,319139,EH38E3922140,EH38E3922174,283000,284000,318000,319000,70,-1
44,chrX,283251,283600,318789,319139,EH38E3922141,EH38E3922174,283000,284000,318000,319000,70,-1
45,chrX,283647,283801,318789,319139,EH38E3922142,EH38E3922174,283000,284000,318000,319000,70,-1
46,chrX,317869,318084,318789,319139,EH38E3922171,EH38E3922174,318000,319000,318000,319000,123,-1
47,chrX,318092,318419,318789,319139,EH38E3922172,EH38E3922174,318000,319000,318000,319000,123,-1
48,chrX,318453,318643,318789,319139,EH38E3922173,EH38E3922174,318000,319000,318000,319000,123,-1
49,chrX,319153,319320,318789,319139,EH38E3922175,EH38E3922174,319000,320000,318000,319000,232,-1
50,chrX,363379,363564,318789,319139,EH38E3922236,EH38E3922174,363000,364000,318000,319000,43,-1
51,chrX,413446,413794,318789,319139,EH38E3922278,EH38E3922174,413000,414000,318000,319000,20,-1
52,chrX,413978,414247,318789,319139,EH38E2738596,EH38E3922174,413000,414000,318000,319000,20,-1
53,chrX,476234,476577,318789,319139,EH38E3922303,EH38E3922174,476000,477000,318000,319000,4,-1
54,chrX,531445,531646,318789,319139,EH38E2738629,EH38E3922174,531000,532000,318000,319000,7,-1
55,chrX,997744,998091,318789,319139,EH38E3922484,EH38E3922174,998000,999000,318000,319000,1,-1
56,chrX,1108517,1108762,318789,319139,EH38E2738846,EH38E3922174,1108000,1109000,318000,319000,1,-1
57,chrX,1108779,1109017,318789,319139,EH38E2738847,EH38E3922174,1108000,1109000,318000,319000,1,-1
58,chrX,387113,387463,318789,319139,EH38E3922265,EH38E3922174,387000,388000,319000,320000,27,-1
59,chrX,499880,500224,318789,319139,EH38E3922309,EH38E3922174,499000,500000,319000,320000,10,-1
60,chrX,791473,791800,318789,319139,EH38E2738747,EH38E3922174,791000,792000,319000,320000,1,-1
61,chrX,283065,283218,386892,387057,EH38E3922140,EH38E2738583,283000,284000,386000,387000,22,-1
62,chrX,283251,283600,386892,387057,EH38E3922141,EH38E2738583,283000,284000,386000,387000,22,-1
63,chrX,283647,283801,386892,387057,EH38E3922142,EH38E2738583,283000,284000,386000,387000,22,-1
64,chrX,317869,318084,386892,387057,EH38E3922171,EH38E2738583,317000,318000,386000,387000,24,-1
65,chrX,318092,318419,386892,387057,EH38E3922172,EH38E2738583,318000,319000,386000,387000,26,-1
66,chrX,318453,318643,386892,387057,EH38E3922173,EH38E2738583,318000,319000,386000,387000,26,-1
67,chrX,319153,319320,386892,387057,EH38E3922175,EH38E2738583,319000,320000,386000,387000,27,-1
68,chrX,387113,387463,386892,387057,EH38E3922265,EH38E2738583,387000,388000,386000,387000,177,-1
69,chrX,476234,476577,386892,387057,EH38E3922303,EH38E2738583,476000,477000,386000,387000,22,-1
70,chrX,791473,791800,386892,387057,EH38E2738747,EH38E2738583,791000,792000,386000,387000,3,-1
71,chrX,997744,998091,386892,387057,EH38E3922484,EH38E2738583,997000,998000,386000,387000,1,-1
72,chrX,1248278,1248556,386892,387057,EH38E2738904,EH38E2738583,1248000,1249000,386000,387000,1,-1
73,chrX,1248570,1248910,386892,387057,EH38E2738905,EH38E2738583,1248000,1249000,386000,387000,1,-1
74,chrX,1248912,1249070,386892,387057,EH38E2738906,EH38E2738583,1248000,1249000,386000,387000,1,-1
