,chrom,enh_start,enh_end,prom_start,prom_end,enh_name,prom_name,bin1_start,bin1_end,bin2_start,bin2_end,modle_count,valid_count
0,chrX,283065,283218,276130,276478,EH38E3922140,EH38E3922126,283000,284000,276000,277000,28,-1
1,chrX,283251,283600,276130,276478,EH38E3922141,EH38E3922126,283000,284000,276000,277000,28,-1
2,chrX,283647,283801,276130,276478,EH38E3922142,EH38E3922126,283000,284000,276000,277000,28,-1
3,chrX,317869,318084,276130,276478,EH38E3922171,EH38E3922126,317000,318000,276000,277000,8,-1
4,chrX,318092,318419,276130,276478,EH38E3922172,EH38E3922126,318000,319000,276000,277000,6,-1
5,chrX,318453,318643,276130,276478,EH38E3922173,EH38E3922126,318000,319000,276000,277000,6,-1
6,chrX,319153,319320,276130,276478,EH38E3922175,EH38E3922126,319000,320000,276000,277000,9,-1
7,chrX,363379,363564,276130,276478,EH38E3922236,EH38E3922126,363000,364000,276000,277000,4,-1
8,chrX,387113,387463,276130,276478,EH38E3922265,EH38E3922126,387000,388000,276000,277000,1,-1
9,chrX,413446,413794,276130,276478,EH38E3922278,EH38E3922126,413000,414000,276000,277000,2,-1
10,chrX,413978,414247,276130,276478,EH38E2738596,EH38E3922126,413000,414000,276000,277000,2,-1
11,chrX,476234,476577,276130,276478,EH38E3922303,EH38E3922126,476000,477000,276000,277000,1,-1
12,chrX,499880,500224,276130,276478,EH38E3922309,EH38E3922126,499000,500000,276000,277000,1,-1
13,chrX,791473,791800,276130,276478,EH38E2738747,EH38E3922126,791000,792000,276000,277000,1,-1
14,chrX,997744,998091,276130,276478,EH38E3922484,EH38E3922126,997000,998000,276000,277000,1,-1
15,chrX,1205303,1205648,276130,276478,EH38E2738874,EH38E3922126,1205000,1206000,276000,277000,1,-1
16,chrX,1205686,1205967,276130,276478,EH38E3922543,EH38E3922126,1205000,1206000,276000,277000,1,-1
17,chrX,1205969,1206161,276130,276478,EH38E3922544,EH38E3922126,1205000,1206000,276000,277000,1,-1
18,chrX,1243142,1243437,276130,276478,EH38E2738898,EH38E3922126,1243000,1244000,276000,277000,1,-1
19,chrX,1248278,1248556,276130,276478,EH38E2738904,EH38E3922126,1248000,1249000,276000,277000,1,-1
20,chrX,1248570,1248910,276130,276478,EH38E2738905,EH38E3922126,1248000,1249000,276000,277000,1,-1
21,chrX,1248912,1249070,276130,276478,EH38E2738906,EH38E3922126,1248000,1249000,276000,277000,1,-1
22,chrX,1355873,1356050,276130,276478,EH38E3922627,EH38E3922126,1355000,1356000,276000,277000,1,-1
23,chrX,1391538,1391888,276130,276478,EH38E3922660,EH38E3922126,1391000,1392000,276000,277000,1,-1
24,chrX,1392429,1392605,276130,276478,EH38E3922662,EH38E3922126,1392000,1393000,276000,277000,1,-1
25,chrX,1392895,1393138,276130,276478,EH38E3922664,EH38E3922126,1392000,1393000,276000,277000,1,-1
26,chrX,1452500,1452701,276130,276478,EH38E2739050,EH38E3922126,1452000,1453000,276000,277000,1,-1
27,chrX,1452969,1453315,276130,276478,EH38E3922720,EH38E3922126,1452000,1453000,276000,277000,1,-1
28,chrX,1481711,1482061,276130,276478,EH38E3922771,EH38E3922126,1481000,1482000,276000,277000,2,-1
29,chrX,2450720,2451068,276130,276478,EH38E2739445,EH38E3922126,2451000,2452000,276000,277000,1,-1
30,chrX,2451800,2451986,276130,276478,EH38E3923113,EH38E3922126,2451000,2452000,276000,277000,1,-1
31,chrX,2451997,2452298,276130,276478,EH38E2739448,EH38E3922126,2451000,2452000,276000,277000,1,-1
32,chrX,283065,283218,281141,281480,EH38E3922140,EH38E3922135,283000,284000,281000,282000,72,-1
33,chrX,283251,283600,281141,281480,EH38E3922141,EH38E3922135,283000,284000,281000,282000,72,-1
34,chrX,283647,283801,281141,281480,EH38E3922142,EH38E3922135,283000,284000,281000,282000,72,-1
35,chrX,317869,318084,281141,281480,EH38E3922171,EH38E3922135,317000,318000,281000,282000,13,-1
36,chrX,318092,318419,281141,281480,EH38E3922172,EH38E3922135,318000,319000,281000,282000,5,-1
37,chrX,318453,318643,281141,281480,EH38E3922173,EH38E3922135,318000,319000,281000,282000,5,-1
38,chrX,319153,319320,281141,281480,EH38E3922175,EH38E3922135,319000,320000,281000,282000,11,-1
39,chrX,363379,363564,281141,281480,EH38E3922236,EH38E3922135,363000,364000,281000,282000,1,-1
40,chrX,387113,387463,281141,281480,EH38E3922265,EH38E3922135,387000,388000,281000,282000,2,-1
41,chrX,413446,413794,281141,281480,EH38E3922278,EH38E3922135,413000,414000,281000,282000,3,-1
42,chrX,413978,414247,281141,281480,EH38E2738596,EH38E3922135,413000,414000,281000,282000,3,-1
43,chrX,499880,500224,281141,281480,EH38E3922309,EH38E3922135,499000,500000,281000,282000,2,-1
44,chrX,531445,531646,281141,281480,EH38E2738629,EH38E3922135,531000,532000,281000,282000,1,-1
45,chrX,1205303,1205648,281141,281480,EH38E2738874,EH38E3922135,1205000,1206000,281000,282000,1,-1
46,chrX,1205686,1205967,281141,281480,EH38E3922543,EH38E3922135,1205000,1206000,281000,282000,1,-1
47,chrX,1205969,1206161,281141,281480,EH38E3922544,EH38E3922135,1205000,1206000,281000,282000,1,-1
48,chrX,1355873,1356050,281141,281480,EH38E3922627,EH38E3922135,1356000,1357000,281000,282000,1,-1
49,chrX,1391538,1391888,281141,281480,EH38E3922660,EH38E3922135,1391000,1392000,281000,282000,1,-1
50,chrX,1392429,1392605,281141,281480,EH38E3922662,EH38E3922135,1392000,1393000,281000,282000,1,-1
51,chrX,1392895,1393138,281141,281480,EH38E3922664,EH38E3922135,1392000,1393000,281000,282000,1,-1
52,chrX,1452969,1453315,281141,281480,EH38E3922720,EH38E3922135,1453000,1454000,281000,282000,1,-1
53,chrX,283065,283218,281483,281641,EH38E3922140,EH38E2738502,283000,284000,281000,282000,72,-1
54,chrX,283251,283600,281483,281641,EH38E3922141,EH38E2738502,283000,284000,281000,282000,72,-1
55,chrX,283647,283801,281483,281641,EH38E3922142,EH38E2738502,283000,284000,281000,282000,72,-1
56,chrX,317869,318084,281483,281641,EH38E3922171,EH38E2738502,317000,318000,281000,282000,13,-1
57,chrX,318092,318419,281483,281641,EH38E3922172,EH38E2738502,318000,319000,281000,282000,5,-1
58,chrX,318453,318643,281483,281641,EH38E3922173,EH38E2738502,318000,319000,281000,282000,5,-1
59,chrX,319153,319320,281483,281641,EH38E3922175,EH38E2738502,319000,320000,281000,282000,11,-1
60,chrX,363379,363564,281483,281641,EH38E3922236,EH38E2738502,363000,364000,281000,282000,1,-1
61,chrX,387113,387463,281483,281641,EH38E3922265,EH38E2738502,387000,388000,281000,282000,2,-1
62,chrX,413446,413794,281483,281641,EH38E3922278,EH38E2738502,413000,414000,281000,282000,3,-1
63,chrX,413978,414247,281483,281641,EH38E2738596,EH38E2738502,413000,414000,281000,282000,3,-1
64,chrX,499880,500224,281483,281641,EH38E3922309,EH38E2738502,499000,500000,281000,282000,2,-1
65,chrX,531445,531646,281483,281641,EH38E2738629,EH38E2738502,531000,532000,281000,282000,1,-1
66,chrX,1205303,1205648,281483,281641,EH38E2738874,EH38E2738502,1205000,1206000,281000,282000,1,-1
67,chrX,1205686,1205967,281483,281641,EH38E3922543,EH38E2738502,1205000,1206000,281000,282000,1,-1
68,chrX,1205969,1206161,281483,281641,EH38E3922544,EH38E2738502,1205000,1206000,281000,282000,1,-1
69,chrX,1355873,1356050,281483,281641,EH38E3922627,EH38E2738502,1356000,1357000,281000,282000,1,-1
70,chrX,1391538,1391888,281483,281641,EH38E3922660,EH38E2738502,1391000,1392000,281000,282000,1,-1
71,chrX,1392429,1392605,281483,281641,EH38E3922662,EH38E2738502,1392000,1393000,281000,282000,1,-1
72,chrX,1392895,1393138,281483,281641,EH38E3922664,EH38E2738502,1392000,1393000,281000,282000,1,-1
73,chrX,1452969,1453315,281483,281641,EH38E3922720,EH38E2738502,1453000,1454000,281000,282000,1,-1
74,chrX,283065,283218,318789,319139,EH38E3922140,EH38E3922174,283000,284000,318000,319000,6,-1
75,chrX,283251,283600,318789,319139,EH38E3922141,EH38E3922174,283000,284000,318000,319000,6,-1
76,chrX,283647,283801,318789,319139,EH38E3922142,EH38E3922174,283000,284000,318000,319000,6,-1
77,chrX,317869,318084,318789,319139,EH38E3922171,EH38E3922174,318000,319000,318000,319000,88,-1
78,chrX,318092,318419,318789,319139,EH38E3922172,EH38E3922174,318000,319000,318000,319000,88,-1
79,chrX,318453,318643,318789,319139,EH38E3922173,EH38E3922174,318000,319000,318000,319000,88,-1
80,chrX,413446,413794,318789,319139,EH38E3922278,EH38E3922174,413000,414000,318000,319000,4,-1
81,chrX,413978,414247,318789,319139,EH38E2738596,EH38E3922174,413000,414000,318000,319000,4,-1
82,chrX,476234,476577,318789,319139,EH38E3922303,EH38E3922174,476000,477000,318000,319000,1,-1
83,chrX,499880,500224,318789,319139,EH38E3922309,EH38E3922174,499000,500000,318000,319000,1,-1
84,chrX,791473,791800,318789,319139,EH38E2738747,EH38E3922174,791000,792000,318000,319000,1,-1
85,chrX,1205969,1206161,318789,319139,EH38E3922544,EH38E3922174,1206000,1207000,318000,319000,1,-1
86,chrX,1206248,1206455,318789,319139,EH38E2738877,EH38E3922174,1206000,1207000,318000,319000,1,-1
87,chrX,1248278,1248556,318789,319139,EH38E2738904,EH38E3922174,1248000,1249000,318000,319000,1,-1
88,chrX,1248570,1248910,318789,319139,EH38E2738905,EH38E3922174,1248000,1249000,318000,319000,1,-1
89,chrX,1248912,1249070,318789,319139,EH38E2738906,EH38E3922174,1248000,1249000,318000,319000,1,-1
90,chrX,1392429,1392605,318789,319139,EH38E3922662,EH38E3922174,1392000,1393000,318000,319000,1,-1
91,chrX,1392895,1393138,318789,319139,EH38E3922664,EH38E3922174,1392000,1393000,318000,319000,1,-1
92,chrX,2262881,2263062,318789,319139,EH38E3923034,EH38E3922174,2262000,2263000,318000,319000,1,-1
93,chrX,319153,319320,318789,319139,EH38E3922175,EH38E3922174,319000,320000,319000,320000,869,-1
94,chrX,363379,363564,318789,319139,EH38E3922236,EH38E3922174,363000,364000,319000,320000,7,-1
95,chrX,387113,387463,318789,319139,EH38E3922265,EH38E3922174,387000,388000,319000,320000,6,-1
96,chrX,531445,531646,318789,319139,EH38E2738629,EH38E3922174,531000,532000,319000,320000,1,-1
97,chrX,1108779,1109017,318789,319139,EH38E2738847,EH38E3922174,1109000,1110000,319000,320000,2,-1
98,chrX,1243142,1243437,318789,319139,EH38E2738898,EH38E3922174,1243000,1244000,319000,320000,2,-1
99,chrX,2710551,2710890,318789,319139,EH38E2739669,EH38E3922174,2710000,2711000,319000,320000,1,-1
100,chrX,283065,283218,386892,387057,EH38E3922140,EH38E2738583,283000,284000,386000,387000,1,-1
101,chrX,283251,283600,386892,387057,EH38E3922141,EH38E2738583,283000,284000,386000,387000,1,-1
102,chrX,283647,283801,386892,387057,EH38E3922142,EH38E2738583,283000,284000,386000,387000,1,-1
103,chrX,363379,363564,386892,387057,EH38E3922236,EH38E2738583,363000,364000,386000,387000,8,-1
104,chrX,413446,413794,386892,387057,EH38E3922278,EH38E2738583,413000,414000,386000,387000,6,-1
105,chrX,413978,414247,386892,387057,EH38E2738596,EH38E2738583,413000,414000,386000,387000,6,-1
106,chrX,499880,500224,386892,387057,EH38E3922309,EH38E2738583,499000,500000,386000,387000,2,-1
107,chrX,997744,998091,386892,387057,EH38E3922484,EH38E2738583,997000,998000,386000,387000,1,-1
108,chrX,1205969,1206161,386892,387057,EH38E3922544,EH38E2738583,1206000,1207000,386000,387000,1,-1
109,chrX,1206248,1206455,386892,387057,EH38E2738877,EH38E2738583,1206000,1207000,386000,387000,1,-1
110,chrX,317869,318084,386892,387057,EH38E3922171,EH38E2738583,317000,318000,387000,388000,2,-1
111,chrX,318092,318419,386892,387057,EH38E3922172,EH38E2738583,318000,319000,387000,388000,3,-1
112,chrX,318453,318643,386892,387057,EH38E3922173,EH38E2738583,318000,319000,387000,388000,3,-1
113,chrX,319153,319320,386892,387057,EH38E3922175,EH38E2738583,319000,320000,387000,388000,6,-1
114,chrX,387113,387463,386892,387057,EH38E3922265,EH38E2738583,387000,388000,387000,388000,237,-1
115,chrX,476234,476577,386892,387057,EH38E3922303,EH38E2738583,476000,477000,387000,388000,1,-1
116,chrX,531445,531646,386892,387057,EH38E2738629,EH38E2738583,531000,532000,387000,388000,1,-1
117,chrX,791473,791800,386892,387057,EH38E2738747,EH38E2738583,791000,792000,387000,388000,1,-1
118,chrX,1108517,1108762,386892,387057,EH38E2738846,EH38E2738583,1108000,1109000,387000,388000,2,-1
119,chrX,1108779,1109017,386892,387057,EH38E2738847,EH38E2738583,1108000,1109000,387000,388000,2,-1
120,chrX,1243142,1243437,386892,387057,EH38E2738898,EH38E2738583,1243000,1244000,387000,388000,2,-1
121,chrX,1248278,1248556,386892,387057,EH38E2738904,EH38E2738583,1248000,1249000,387000,388000,2,-1
122,chrX,1248570,1248910,386892,387057,EH38E2738905,EH38E2738583,1248000,1249000,387000,388000,2,-1
123,chrX,1248912,1249070,386892,387057,EH38E2738906,EH38E2738583,1248000,1249000,387000,388000,2,-1
124,chrX,1355873,1356050,386892,387057,EH38E3922627,EH38E2738583,1355000,1356000,387000,388000,1,-1
125,chrX,1391538,1391888,386892,387057,EH38E3922660,EH38E2738583,1391000,1392000,387000,388000,2,-1
126,chrX,1452500,1452701,386892,387057,EH38E2739050,EH38E2738583,1452000,1453000,387000,388000,1,-1
127,chrX,1452969,1453315,386892,387057,EH38E3922720,EH38E2738583,1452000,1453000,387000,388000,1,-1
128,chrX,283065,283218,630538,630830,EH38E3922140,EH38E3922349,283000,284000,630000,631000,1,-1
129,chrX,283251,283600,630538,630830,EH38E3922141,EH38E3922349,283000,284000,630000,631000,1,-1
130,chrX,283647,283801,630538,630830,EH38E3922142,EH38E3922349,283000,284000,630000,631000,1,-1
131,chrX,317869,318084,630538,630830,EH38E3922171,EH38E3922349,317000,318000,630000,631000,1,-1
132,chrX,319153,319320,630538,630830,EH38E3922175,EH38E3922349,319000,320000,630000,631000,2,-1
133,chrX,363379,363564,630538,630830,EH38E3922236,EH38E3922349,363000,364000,630000,631000,1,-1
134,chrX,387113,387463,630538,630830,EH38E3922265,EH38E3922349,387000,388000,630000,631000,2,-1
135,chrX,413446,413794,630538,630830,EH38E3922278,EH38E3922349,413000,414000,630000,631000,2,-1
136,chrX,413978,414247,630538,630830,EH38E2738596,EH38E3922349,413000,414000,630000,631000,2,-1
137,chrX,476234,476577,630538,630830,EH38E3922303,EH38E3922349,476000,477000,630000,631000,6,-1
138,chrX,499880,500224,630538,630830,EH38E3922309,EH38E3922349,499000,500000,630000,631000,6,-1
139,chrX,531445,531646,630538,630830,EH38E2738629,EH38E3922349,531000,532000,630000,631000,4,-1
140,chrX,791473,791800,630538,630830,EH38E2738747,EH38E3922349,791000,792000,630000,631000,4,-1
141,chrX,1108517,1108762,630538,630830,EH38E2738846,EH38E3922349,1108000,1109000,630000,631000,1,-1
142,chrX,1108779,1109017,630538,630830,EH38E2738847,EH38E3922349,1108000,1109000,630000,631000,1,-1
143,chrX,1248278,1248556,630538,630830,EH38E2738904,EH38E3922349,1248000,1249000,630000,631000,3,-1
144,chrX,1248570,1248910,630538,630830,EH38E2738905,EH38E3922349,1248000,1249000,630000,631000,3,-1
145,chrX,1248912,1249070,630538,630830,EH38E2738906,EH38E3922349,1248000,1249000,630000,631000,3,-1
146,chrX,1249206,1249552,630538,630830,EH38E3922570,EH38E3922349,1249000,1250000,630000,631000,4,-1
147,chrX,1249567,1249917,630538,630830,EH38E2738909,EH38E3922349,1249000,1250000,630000,631000,4,-1
148,chrX,1355873,1356050,630538,630830,EH38E3922627,EH38E3922349,1355000,1356000,630000,631000,1,-1
149,chrX,2710551,2710890,630538,630830,EH38E2739669,EH38E3922349,2710000,2711000,630000,631000,1,-1
150,chrX,283065,283218,630872,631048,EH38E3922140,EH38E3922350,283000,284000,630000,631000,1,-1
151,chrX,283251,283600,630872,631048,EH38E3922141,EH38E3922350,283000,284000,630000,631000,1,-1
152,chrX,283647,283801,630872,631048,EH38E3922142,EH38E3922350,283000,284000,630000,631000,1,-1
153,chrX,317869,318084,630872,631048,EH38E3922171,EH38E3922350,317000,318000,630000,631000,1,-1
154,chrX,319153,319320,630872,631048,EH38E3922175,EH38E3922350,319000,320000,630000,631000,2,-1
155,chrX,387113,387463,630872,631048,EH38E3922265,EH38E3922350,387000,388000,630000,631000,2,-1
156,chrX,476234,476577,630872,631048,EH38E3922303,EH38E3922350,476000,477000,630000,631000,6,-1
157,chrX,499880,500224,630872,631048,EH38E3922309,EH38E3922350,499000,500000,630000,631000,6,-1
158,chrX,531445,531646,630872,631048,EH38E2738629,EH38E3922350,531000,532000,630000,631000,4,-1
159,chrX,1248278,1248556,630872,631048,EH38E2738904,EH38E3922350,1248000,1249000,630000,631000,3,-1
160,chrX,1248570,1248910,630872,631048,EH38E2738905,EH38E3922350,1248000,1249000,630000,631000,3,-1
161,chrX,1248912,1249070,630872,631048,EH38E2738906,EH38E3922350,1248000,1249000,630000,631000,3,-1
162,chrX,1249206,1249552,630872,631048,EH38E3922570,EH38E3922350,1249000,1250000,630000,631000,4,-1
163,chrX,1249567,1249917,630872,631048,EH38E2738909,EH38E3922350,1249000,1250000,630000,631000,4,-1
164,chrX,1355873,1356050,630872,631048,EH38E3922627,EH38E3922350,1355000,1356000,630000,631000,1,-1
165,chrX,2710551,2710890,630872,631048,EH38E2739669,EH38E3922350,2710000,2711000,630000,631000,1,-1
166,chrX,318092,318419,630872,631048,EH38E3922172,EH38E3922350,318000,319000,631000,632000,1,-1
167,chrX,318453,318643,630872,631048,EH38E3922173,EH38E3922350,318000,319000,631000,632000,1,-1
168,chrX,363379,363564,630872,631048,EH38E3922236,EH38E3922350,363000,364000,631000,632000,2,-1
169,chrX,413446,413794,630872,631048,EH38E3922278,EH38E3922350,413000,414000,631000,632000,3,-1
170,chrX,413978,414247,630872,631048,EH38E2738596,EH38E3922350,413000,414000,631000,632000,3,-1
171,chrX,791473,791800,630872,631048,EH38E2738747,EH38E3922350,791000,792000,631000,632000,5,-1
