,chrom,enh_start,enh_end,prom_start,prom_end,enh_name,prom_name,bin1_start,bin1_end,bin2_start,bin2_end,modle_count,valid_count
0,chrX,283065,283218,276130,276478,EH38E3922140,EH38E3922126,280000,285000,275000,280000,432,-1
1,chrX,283251,283600,276130,276478,EH38E3922141,EH38E3922126,280000,285000,275000,280000,432,-1
2,chrX,283647,283801,276130,276478,EH38E3922142,EH38E3922126,280000,285000,275000,280000,432,-1
3,chrX,317869,318084,276130,276478,EH38E3922171,EH38E3922126,315000,320000,275000,280000,161,-1
4,chrX,318092,318419,276130,276478,EH38E3922172,EH38E3922126,315000,320000,275000,280000,161,-1
5,chrX,318453,318643,276130,276478,EH38E3922173,EH38E3922126,315000,320000,275000,280000,161,-1
6,chrX,319153,319320,276130,276478,EH38E3922175,EH38E3922126,315000,320000,275000,280000,161,-1
7,chrX,363379,363564,276130,276478,EH38E3922236,EH38E3922126,360000,365000,275000,280000,49,-1
8,chrX,387113,387463,276130,276478,EH38E3922265,EH38E3922126,385000,390000,275000,280000,36,-1
9,chrX,413446,413794,276130,276478,EH38E3922278,EH38E3922126,410000,415000,275000,280000,26,-1
10,chrX,413978,414247,276130,276478,EH38E2738596,EH38E3922126,410000,415000,275000,280000,26,-1
11,chrX,476234,476577,276130,276478,EH38E3922303,EH38E3922126,475000,480000,275000,280000,14,-1
12,chrX,499880,500224,276130,276478,EH38E3922309,EH38E3922126,495000,500000,275000,280000,17,-1
13,chrX,531445,531646,276130,276478,EH38E2738629,EH38E3922126,530000,535000,275000,280000,9,-1
14,chrX,791473,791800,276130,276478,EH38E2738747,EH38E3922126,790000,795000,275000,280000,1,-1
15,chrX,283065,283218,281141,281480,EH38E3922140,EH38E3922135,280000,285000,280000,285000,286,-1
16,chrX,283251,283600,281141,281480,EH38E3922141,EH38E3922135,280000,285000,280000,285000,286,-1
17,chrX,283647,283801,281141,281480,EH38E3922142,EH38E3922135,280000,285000,280000,285000,286,-1
18,chrX,317869,318084,281141,281480,EH38E3922171,EH38E3922135,315000,320000,280000,285000,190,-1
19,chrX,318092,318419,281141,281480,EH38E3922172,EH38E3922135,315000,320000,280000,285000,190,-1
20,chrX,318453,318643,281141,281480,EH38E3922173,EH38E3922135,315000,320000,280000,285000,190,-1
21,chrX,319153,319320,281141,281480,EH38E3922175,EH38E3922135,315000,320000,280000,285000,190,-1
22,chrX,363379,363564,281141,281480,EH38E3922236,EH38E3922135,360000,365000,280000,285000,47,-1
23,chrX,387113,387463,281141,281480,EH38E3922265,EH38E3922135,385000,390000,280000,285000,30,-1
24,chrX,413446,413794,281141,281480,EH38E3922278,EH38E3922135,410000,415000,280000,285000,28,-1
25,chrX,413978,414247,281141,281480,EH38E2738596,EH38E3922135,410000,415000,280000,285000,28,-1
26,chrX,476234,476577,281141,281480,EH38E3922303,EH38E3922135,475000,480000,280000,285000,21,-1
27,chrX,499880,500224,281141,281480,EH38E3922309,EH38E3922135,495000,500000,280000,285000,15,-1
28,chrX,531445,531646,281141,281480,EH38E2738629,EH38E3922135,530000,535000,280000,285000,19,-1
29,chrX,791473,791800,281141,281480,EH38E2738747,EH38E3922135,790000,795000,280000,285000,3,-1
30,chrX,283065,283218,281483,281641,EH38E3922140,EH38E2738502,280000,285000,280000,285000,286,-1
31,chrX,283251,283600,281483,281641,EH38E3922141,EH38E2738502,280000,285000,280000,285000,286,-1
32,chrX,283647,283801,281483,281641,EH38E3922142,EH38E2738502,280000,285000,280000,285000,286,-1
33,chrX,317869,318084,281483,281641,EH38E3922171,EH38E2738502,315000,320000,280000,285000,190,-1
34,chrX,318092,318419,281483,281641,EH38E3922172,EH38E2738502,315000,320000,280000,285000,190,-1
35,chrX,318453,318643,281483,281641,EH38E3922173,EH38E2738502,315000,320000,280000,285000,190,-1
36,chrX,319153,319320,281483,281641,EH38E3922175,EH38E2738502,315000,320000,280000,285000,190,-1
37,chrX,363379,363564,281483,281641,EH38E3922236,EH38E2738502,360000,365000,280000,285000,47,-1
38,chrX,387113,387463,281483,281641,EH38E3922265,EH38E2738502,385000,390000,280000,285000,30,-1
39,chrX,413446,413794,281483,281641,EH38E3922278,EH38E2738502,410000,415000,280000,285000,28,-1
40,chrX,413978,414247,281483,281641,EH38E2738596,EH38E2738502,410000,415000,280000,285000,28,-1
41,chrX,476234,476577,281483,281641,EH38E3922303,EH38E2738502,475000,480000,280000,285000,21,-1
42,chrX,499880,500224,281483,281641,EH38E3922309,EH38E2738502,495000,500000,280000,285000,15,-1
43,chrX,531445,531646,281483,281641,EH38E2738629,EH38E2738502,530000,535000,280000,285000,19,-1
44,chrX,791473,791800,281483,281641,EH38E2738747,EH38E2738502,790000,795000,280000,285000,3,-1
45,chrX,283065,283218,318789,319139,EH38E3922140,EH38E3922174,280000,285000,315000,320000,190,-1
46,chrX,283251,283600,318789,319139,EH38E3922141,EH38E3922174,280000,285000,315000,320000,190,-1
47,chrX,283647,283801,318789,319139,EH38E3922142,EH38E3922174,280000,285000,315000,320000,190,-1
48,chrX,317869,318084,318789,319139,EH38E3922171,EH38E3922174,315000,320000,315000,320000,348,-1
49,chrX,318092,318419,318789,319139,EH38E3922172,EH38E3922174,315000,320000,315000,320000,348,-1
50,chrX,318453,318643,318789,319139,EH38E3922173,EH38E3922174,315000,320000,315000,320000,348,-1
51,chrX,319153,319320,318789,319139,EH38E3922175,EH38E3922174,315000,320000,315000,320000,348,-1
52,chrX,363379,363564,318789,319139,EH38E3922236,EH38E3922174,360000,365000,315000,320000,128,-1
