,chrom,enh_start,enh_end,prom_start,prom_end,enh_name,prom_name,bin1_start,bin1_end,bin2_start,bin2_end,modle_count,valid_count
0,chr9,504338,504548,214671,214994,EH38E3871009,EH38E3870851,504000,505000,214000,215000,1,-1
1,chr9,557846,558196,214671,214994,EH38E2677053,EH38E3870851,558000,559000,214000,215000,1,-1
2,chr9,727846,728053,214671,214994,EH38E2677223,EH38E3870851,728000,729000,214000,215000,3,-1
3,chr9,504338,504548,469715,469955,EH38E3871009,EH38E2676977,504000,505000,469000,470000,46,-1
4,chr9,557846,558196,469715,469955,EH38E2677053,EH38E2676977,557000,558000,469000,470000,17,-1
5,chr9,727846,728053,469715,469955,EH38E2677223,EH38E2676977,727000,728000,469000,470000,6,-1
6,chr9,504338,504548,470056,470405,EH38E3871009,EH38E3870988,504000,505000,470000,471000,44,-1
7,chr9,557846,558196,470056,470405,EH38E2677053,EH38E3870988,557000,558000,470000,471000,29,-1
8,chr9,727846,728053,470056,470405,EH38E2677223,EH38E3870988,727000,728000,470000,471000,2,-1
9,chr9,504338,504548,504551,504771,EH38E3871009,EH38E3871010,504000,505000,504000,505000,104,-1
10,chr9,557846,558196,504551,504771,EH38E2677053,EH38E3871010,557000,558000,504000,505000,40,-1
11,chr9,727846,728053,504551,504771,EH38E2677223,EH38E3871010,727000,728000,504000,505000,1,-1
12,chr9,504338,504548,706678,707028,EH38E3871009,EH38E3871135,504000,505000,706000,707000,3,-1
13,chr9,557846,558196,706678,707028,EH38E2677053,EH38E3871135,557000,558000,706000,707000,11,-1
14,chr9,727846,728053,706678,707028,EH38E2677223,EH38E3871135,727000,728000,706000,707000,94,-1
15,chr9,504338,504548,841429,841686,EH38E3871009,EH38E3871229,504000,505000,841000,842000,1,-1
16,chr9,557846,558196,841429,841686,EH38E2677053,EH38E3871229,557000,558000,841000,842000,1,-1
17,chr9,727846,728053,841429,841686,EH38E2677223,EH38E3871229,727000,728000,841000,842000,4,-1
18,chr9,504338,504548,841698,841868,EH38E3871009,EH38E3871230,504000,505000,841000,842000,1,-1
19,chr9,557846,558196,841698,841868,EH38E2677053,EH38E3871230,557000,558000,841000,842000,1,-1
20,chr9,727846,728053,841698,841868,EH38E2677223,EH38E3871230,727000,728000,841000,842000,4,-1
21,chr9,727846,728053,976349,976694,EH38E2677223,EH38E3871291,727000,728000,976000,977000,3,-1
22,chr9,727846,728053,1042548,1042770,EH38E2677223,EH38E2677394,727000,728000,1042000,1043000,1,-1
23,chr9,557846,558196,1050105,1050454,EH38E2677053,EH38E3871340,557000,558000,1050000,1051000,1,-1
24,chr9,2158757,2159091,2015007,2015356,EH38E3871598,EH38E3871511,2158000,2159000,2015000,2016000,11,-1
25,chr9,2180708,2181058,2015007,2015356,EH38E3871611,EH38E3871511,2180000,2181000,2015000,2016000,16,-1
26,chr9,2181823,2182145,2015007,2015356,EH38E3871612,EH38E3871511,2181000,2182000,2015000,2016000,11,-1
27,chr9,2200496,2200706,2015007,2015356,EH38E3871618,EH38E3871511,2200000,2201000,2015000,2016000,2,-1
28,chr9,2241231,2241466,2015007,2015356,EH38E2677893,EH38E3871511,2241000,2242000,2015000,2016000,1,-1
29,chr9,2241473,2241811,2015007,2015356,EH38E2677894,EH38E3871511,2241000,2242000,2015000,2016000,1,-1
30,chr9,2241854,2242204,2015007,2015356,EH38E2677895,EH38E3871511,2241000,2242000,2015000,2016000,1,-1
31,chr9,2281064,2281413,2015007,2015356,EH38E3871673,EH38E3871511,2281000,2282000,2015000,2016000,2,-1
32,chr9,2281417,2281766,2015007,2015356,EH38E3871674,EH38E3871511,2281000,2282000,2015000,2016000,2,-1
33,chr9,2158757,2159091,2158235,2158570,EH38E3871598,EH38E2677829,2158000,2159000,2158000,2159000,166,-1
34,chr9,2180708,2181058,2158235,2158570,EH38E3871611,EH38E2677829,2180000,2181000,2158000,2159000,106,-1
35,chr9,2181823,2182145,2158235,2158570,EH38E3871612,EH38E2677829,2181000,2182000,2158000,2159000,93,-1
36,chr9,2200496,2200706,2158235,2158570,EH38E3871618,EH38E2677829,2200000,2201000,2158000,2159000,18,-1
37,chr9,2241231,2241466,2158235,2158570,EH38E2677893,EH38E2677829,2241000,2242000,2158000,2159000,15,-1
